Track,Vehicle,Description,Translation,Rotation,Timestamp
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-255.5828224617282, -372.1232096493322, 3.884996601296507]","[-0.5696281951603676, 0.0, 0.0, 0.8219024998613536]",16415956450.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.8777269734978, -375.468062911052, 3.9246879772262986]","[-0.5881887709638002, 0.0, 0.0, 0.808723667090369]",16415956455.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-231.07217016024094, -379.6767844069727, 3.944531461796018]","[-0.616127452092966, 0.0, 0.0, 0.7876464706817582]",16415956460.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-221.03883174498668, -381.90398864820156, 3.948210962604051]","[-0.631538084927125, 0.0, 0.0, 0.7753448570065965]",16415956465.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-205.87339896184452, -384.5268500316101, 3.994444677699107]","[-0.6555143507397931, 0.0, 0.0, 0.7551827169461623]",16415956470.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-195.69307442410636, -385.7044930214367, 4.031808974082622]","[-0.6725355303099546, 0.0, 0.0, 0.7400648353156014]",16415956475.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-180.3486971873474, -386.68800699016515, 4.08171612593712]","[-0.6953206168332551, 0.0, 0.0, 0.7186996868001416]",16415956480.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-170.10644950115602, -386.75107106923633, 4.126061404542938]","[0.7128449817245268, 0.0, 0.0, -0.7013216323700269]",16415956485.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-154.7977862546622, -385.81254419233784, 4.19005058340845]","[0.7410113428091528, 0.0, 0.0, -0.6714925091377985]",16415956490.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-144.6740994824643, -384.45801953248923, 4.2392050668139944]","[0.7598378990482056, 0.0, 0.0, -0.650112580381282]",16415956495.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-129.59711091886277, -381.5353247904527, 4.281220592991289]","[0.7792941675143972, 0.0, 0.0, -0.626658280467148]",16415956500.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-119.62483465095015, -379.15294460600455, 4.31680904624271]","[0.7891676570261084, 0.0, 0.0, -0.6141778318239128]",16415956505.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-104.70891155017279, -375.249024541413, 4.384300344568871]","[0.7939970169312867, 0.0, 0.0, -0.6079216537550031]",16415956510.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-94.83502628732822, -372.4724596825971, 4.4715328884700085]","[0.7994132190651225, 0.0, 0.0, -0.6007815785990266]",16415956515.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-80.19062467359095, -367.94701252370794, 4.646687818406818]","[0.8121502199708245, 0.0, 0.0, -0.5834483869215352]",16415956520.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-70.58596266663028, -364.5384233245963, 4.782494435292946]","[0.8221358437153946, 0.0, 0.0, -0.5692913616755275]",16415956525.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-56.56960511457494, -358.6989028764365, 5.072106429095413]","[0.8449351308520483, 0.0, 0.0, -0.5348687919967214]",16415956530.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-47.57126621794101, -354.095153378765, 5.240404686185954]","[0.8581429587407388, 0.0, 0.0, -0.5134108124725177]",16415956535.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-34.33027932551525, -346.57765473968686, 5.417941116019158]","[0.8681393901571038, 0.0, 0.0, -0.496320460244842]",16415956540.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-25.632951960670873, -341.3245740645941, 5.550518931559907]","[0.8735286671755066, 0.0, 0.0, -0.4867727063246079]",16415956545.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-12.876674035927252, -332.9205067284019, 5.7030291503075645]","[0.8875637618129036, 0.0, 0.0, -0.4606848909140902]",16415956550.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-4.61526815043414, -326.7752297622341, 5.718883215016788]","[0.8972290898992406, 0.0, 0.0, -0.4415653521717716]",16415956555.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[7.652868601309619, -316.9178407649779, 5.68338233272064]","[0.9047579178207048, 0.0, 0.0, -0.4259261792150642]",16415956560.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[15.8654052480825, -310.0397276696692, 5.670770445843683]","[0.9065680209710975, 0.0, 0.0, -0.4220597390803201]",16415956565.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[28.41095542429964, -299.4515779573216, 5.626988297718601]","[0.9066128797190247, 0.0, 0.0, -0.42196337083635255]",16415956570.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[37.01643328261325, -292.2726450079016, 5.58857570694814]","[0.9047280417107386, 0.0, 0.0, -0.4259896366606258]",16415956575.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[49.21817751156836, -282.1805473335544, 5.587674010047918]","[0.9048534734457205, 0.0, 0.0, -0.4257231396027407]",16415956580.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[59.385147785172265, -273.766887114467, 5.58434372909999]","[0.904673468720655, 0.0, 0.0, -0.42610552096040466]",16415956585.12345
